gmDate,gmTime,homeAbbr,awayAbbr,home1x2FirstOptionRate,away1x2FirstOptionRate,home1x2LastOptionRate,away1x2LastOptionRate,home1x2FirstWinRate,away1x2FirstWinRate,home1x2LastWinRate,away1x2LastWinRate,home1x2FirstRTP,away1x2LastRTP,home1x2KellyIndex,away1x2KellyIndex,OverFirstOptionRate,UnderFirstOptionRate,OverUnderFirstSpecialBetValue,OverLastOptionRate,UnderLastOptionRate,OverUnderLastSpecialBetValue,SourceUrl
2015/10/28,08:00,Chicago Bulls,Cleveland Cavaliers,1.66,2.30,1.57,2.55,58.08,41.92,61.89,38.11,96.41,97.17,0.93,1.05,0.90,0.90,200,0.90,0.90,198.5,http://nba.win007.com/1x2/oddslist/232153.htm
2015/10/28,08:00,Atlanta Hawks,Detroit Pistons,1.33,3.40,1.31,3.60,71.88,28.12,73.32,26.68,95.60,96.05,0.93,1.04,0.90,0.90,197.5,0.90,0.90,196.5,http://nba.win007.com/1x2/oddslist/232151.htm
2015/10/28,10:30,Golden State Warriors,New Orleans Pelicans,1.18,5.25,1.12,6.50,81.65,18.35,85.30,14.70,96.35,95.54,0.92,1.17,0.90,0.90,212,0.90,0.90,215,http://nba.win007.com/1x2/oddslist/232152.htm
2015/10/29,07:00,Orlando Magic,Washington Wizards,2.50,1.58,2.65,1.54,38.73,61.27,36.75,63.25,96.82,97.39,1.03,0.94,0.90,0.90,202,0.90,0.90,203.5,http://nba.win007.com/1x2/oddslist/232154.htm
2015/10/29,07:30,Toronto Raptors,Indiana Pacers,1.45,2.80,1.43,2.90,65.88,34.12,66.97,33.03,95.53,95.77,0.94,0.99,0.90,0.90,197,0.90,0.90,199.5,http://nba.win007.com/1x2/oddslist/232155.htm
2015/10/29,07:30,Detroit Pistons,Utah Jazz,2.10,1.76,1.95,1.86,45.60,54.40,48.82,51.18,95.76,95.20,0.96,0.95,0.90,0.90,191.5,0.90,0.90,191,http://nba.win007.com/1x2/oddslist/232156.htm
2015/10/29,07:30,Boston Celtics,Philadelphia 76ers,1.11,7.00,1.07,9.00,86.31,13.69,89.37,10.63,95.80,95.63,0.93,1.17,0.90,0.90,200.5,0.90,0.90,198,http://nba.win007.com/1x2/oddslist/232157.htm
2015/10/29,07:30,Miami Heat,Charlotte Hornets,1.37,3.20,1.36,3.25,70.02,29.98,70.50,29.50,95.93,95.88,0.95,0.98,0.90,0.90,192.5,0.90,0.90,194.5,http://nba.win007.com/1x2/oddslist/232158.htm
2015/10/29,07:30,Brooklyn Nets,Chicago Bulls,3.00,1.41,2.80,1.45,31.97,68.03,34.12,65.88,95.91,95.54,0.95,0.96,0.90,0.90,197.5,0.90,0.90,196.5,http://nba.win007.com/1x2/oddslist/232159.htm
2015/10/29,08:00,Memphis Grizzlies,Cleveland Cavaliers,1.38,3.15,1.45,2.80,69.54,30.46,65.88,34.12,95.97,95.53,0.96,0.95,0.90,0.90,191.5,0.90,0.90,189,http://nba.win007.com/1x2/oddslist/232160.htm
2015/10/29,08:00,Milwaukee Bucks,New York Knicks,1.38,3.15,1.45,2.80,69.54,30.46,65.88,34.12,95.97,95.53,0.94,0.98,0.90,0.90,195,0.90,0.90,194.5,http://nba.win007.com/1x2/oddslist/232161.htm
2015/10/29,08:00,Houston Rockets,Denver Nuggets,1.16,5.50,1.13,6.25,82.58,17.42,84.69,15.31,95.79,95.70,0.94,1.06,0.90,0.90,210.5,0.90,0.90,211.5,http://nba.win007.com/1x2/oddslist/232162.htm
2015/10/29,08:00,Oklahoma City Thunder,San Antonio Spurs,1.47,2.75,1.52,2.67,65.17,34.83,63.72,36.28,95.80,96.85,0.96,0.99,0.90,0.90,206,0.90,0.90,207.5,http://nba.win007.com/1x2/oddslist/232163.htm
2015/10/29,10:00,Phoenix Suns,Dallas Mavericks,1.54,2.65,1.40,3.10,63.25,36.75,68.89,31.11,97.40,96.45,0.92,1.05,0.90,0.90,206.5,0.90,0.90,204.5,http://nba.win007.com/1x2/oddslist/232164.htm
2015/10/29,10:00,Portland Trail Blazers,New Orleans Pelicans,1.71,2.20,1.74,2.15,56.27,43.73,55.27,44.73,96.22,96.17,0.97,0.95,0.90,0.90,201,0.90,0.90,204.5,http://nba.win007.com/1x2/oddslist/232165.htm
2015/10/29,10:00,Sacramento Kings,Los Angeles Clippers,2.80,1.45,3.00,1.41,34.12,65.88,31.97,68.03,95.54,95.91,0.99,0.94,0.90,0.90,212,0.90,0.90,211.5,http://nba.win007.com/1x2/oddslist/232166.htm
2015/10/29,10:30,Los Angeles Lakers,Minnesota Timberwolves,1.62,2.40,1.68,2.25,59.70,40.30,57.25,42.75,96.71,96.18,0.97,0.95,0.90,0.90,204,0.90,0.90,203,http://nba.win007.com/1x2/oddslist/232167.htm
2015/10/30,07:00,Indiana Pacers,Memphis Grizzlies,2.30,1.66,,,41.92,58.08,,,96.42,,0.99,0.95,0.95,0.86,188,0.90,0.90,191,http://nba.win007.com/1x2/oddslist/232168.htm
2015/10/30,08:00,New York Knicks,Atlanta Hawks,2.50,1.58,2.65,1.54,38.73,61.27,36.75,63.25,96.82,97.39,0.98,0.97,0.90,0.90,197,0.90,0.90,198.5,http://nba.win007.com/1x2/oddslist/232169.htm
2015/10/30,10:30,Los Angeles Clippers,Dallas Mavericks,1.13,6.25,1.10,7.50,84.69,15.31,87.21,12.79,95.70,95.93,0.95,1.05,0.90,0.90,210.5,0.90,0.90,213.5,http://nba.win007.com/1x2/oddslist/232170.htm
2015/10/31,07:00,Cleveland Cavaliers,Miami Heat,1.40,3.10,1.50,2.70,68.89,31.11,64.29,35.71,96.45,96.44,1.01,0.89,0.90,0.90,198,0.90,0.90,200.5,http://nba.win007.com/1x2/oddslist/232171.htm
