gmDate,gmTime,seasType,offLNm1,offFNm1,offLNm2,offFNm2,OffLNm3,offFNm3,teamAbbr,teamConf,teamLoc,teamRslt,teamMin,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamFGA,teamFGM,teamFG_Percentage,team2PA,team2PM,team2P_Percentage,team3PA,team3PM,team3P_Percentage,teamFTA,teamFTM,teamFT_Percentage,teamORB,teamDRB,teamTRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,teamTREB_Percentage,teamASST_Percentage,teamTS_Percentage,teamEFG_Percentage,teamOREB_Percentage,teamDREB_Percentage,teamTO_Percentage,teamSTL_Percentage,teamBLK_Percentage,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay_Percentage,teamAR,teamASTDividedByTO,teamSTLDividedByTO,teamFouls,opptAbbr,opptConf,opptLoc,opptRslt,opptMin,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptFGA,opptFGM,opptFG_Percentage,oppt2PA,oppt2PM,oppt2P_Percentage,oppt3PA,oppt3PM,oppt3P_Percentage,opptFTA,opptFTM,opptFT_Percentage,opptORB,opptDRB,opptTRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8,opptTREB_Percentage,opptASST_Percentage,opptTS_Percentage,opptEFG_Percentage,opptOREB_Percentage,opptDREB_Percentage,opptTO_Percentage,opptSTL_Percentage,opptBLK_Percentage,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay_Percentage,opptAR,opptASTDividedByTO,opptSTLDividedByTO,opptFouls,EventCode,DB_HomeOdds,DB_AwayOdds,home1x2FirstOptionRate,away1x2FirstOptionRate,home1x2LastOptionRate,away1x2LastOptionRate,home1x2FirstWinRate,away1x2FirstWinRate,home1x2LastWinRate,away1x2LastWinRate,home1x2FirstRTP,away1x2LastRTP,home1x2KellyIndex,away1x2KellyIndex,OverFirstOptionRate,UnderFirstOptionRate,OverUnderFirstSpecialBetValue,OverLastOptionRate,UnderLastOptionRate,OverUnderLastSpecialBetValue,SourceUrl
2022/04/08,07:40,Regular,,,,,,,Toronto Raptors,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia 76ers,,Away,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117528815,1.64,2.35,1.65,2.35,1.74,2.15,58.75,41.25,55.27,44.73,96.94,96.17,0.96,0.97,0.91,0.91,214,0.91,0.91,215,http://nba.win007.com/1x2/oddslist/432237.htm
2022/04/08,08:10,Regular,,,,,,,New Orleans Pelicans,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Trail Blazers,,Away,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117528821,1.05,11.00,1.06,11.00,,,91.21,8.79,,,96.68,,0.95,1.10,0.91,0.91,222,0.91,0.91,222,http://nba.win007.com/1x2/oddslist/432238.htm
2022/04/07,08:10,Regular,,,,,,,Chicago Bulls,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston Celtics,,Away,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117540731,3.40,1.33,3.60,1.31,3.30,1.36,26.68,73.32,29.18,70.82,96.05,96.29,0.96,0.97,0.91,0.91,224.5,0.91,0.91,223,http://nba.win007.com/1x2/oddslist/432231.htm
2022/04/07,09:10,Regular,,,,,,,Utah Jazz,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma City Thunder,,Away,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117540734,1.05,12.00,1.04,13.00,1.05,12.25,92.59,7.41,92.11,7.89,96.29,96.72,0.96,1.10,0.91,0.91,224.5,0.91,0.91,219,http://nba.win007.com/1x2/oddslist/432233.htm
2022/04/07,10:10,Regular,,,,,,,Los Angeles Clippers,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix Suns,,Away,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117540737,1.71,2.20,2.30,1.67,1.71,2.20,42.07,57.93,56.27,43.73,96.76,96.22,0.96,0.97,0.91,0.91,230,0.91,0.91,226.5,http://nba.win007.com/1x2/oddslist/432234.htm
2022/04/07,07:10,Regular,,,,,,,Detroit Pistons,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas Mavericks,,Away,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117540722,4.20,1.25,4.50,1.22,4.20,1.25,21.33,78.67,22.94,77.06,95.99,96.35,1.01,0.95,0.91,0.91,221,0.91,0.91,218.5,http://nba.win007.com/1x2/oddslist/432229.htm
2022/04/08,08:10,Regular,,,,,,,Minnesota Timberwolves,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Antonio Spurs,,Away,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117528818,1.23,4.25,1.24,4.25,1.28,3.80,77.41,22.59,74.80,25.20,95.99,95.74,0.96,0.95,0.91,0.91,238,0.91,0.91,238,http://nba.win007.com/1x2/oddslist/432239.htm
2022/04/08,09:10,Regular,,,,,,,Denver Nuggets,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memphis Grizzlies,,Away,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117528824,1.71,2.20,1.71,2.20,1.74,2.15,56.27,43.73,55.27,44.73,96.22,96.17,0.96,0.97,0.91,0.91,232,0.91,0.91,233,http://nba.win007.com/1x2/oddslist/432240.htm
2022/04/08,10:00,Regular,,,,,,,Golden State Warriors,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Lakers,,Away,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117528828,1.16,5.50,1.17,5.50,,,82.46,17.54,,,96.48,,0.97,0.94,0.91,0.91,224,0.91,0.91,224,http://nba.win007.com/1x2/oddslist/432241.htm
2022/04/07,08:10,Regular,,,,,,,Atlanta Hawks,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington Wizards,,Away,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117540728,1.18,5.25,1.22,4.50,1.18,5.25,78.67,21.33,81.65,18.35,95.98,96.35,0.96,1.00,0.91,0.91,227.5,0.91,0.91,234.5,http://nba.win007.com/1x2/oddslist/432232.htm
